Direction,Elevator,Floor,Layout,Region,Renovation,Size,age,Price
7,2,27,9,14,3,85.0,8,390.0
9,1,27,17,14,3,119.0,8,548.0
9,1,19,9,14,2,64.0,9,245.0
7,0,6,9,14,2,74.0,21,215.0
9,2,6,9,14,3,84.0,25,320.0
9,0,6,9,14,3,87.0,16,306.0
9,0,6,9,14,2,72.0,24,302.0
9,0,6,25,14,0,148.0,26,406.0
9,0,6,9,14,2,84.0,11,285.0
9,0,6,9,14,2,54.0,28,210.0
7,2,23,9,14,3,87.0,9,418.0
9,1,11,17,14,3,139.0,9,650.0
9,2,6,9,14,2,88.0,11,308.0
9,0,6,9,14,2,59.0,29,229.0
9,1,20,17,14,1,160.0,5,640.0
7,1,21,9,14,3,92.0,6,398.0
9,1,21,17,14,1,140.0,6,600.0
9,0,5,16,14,1,63.0,51,210.0
3,0,6,9,14,0,104.0,28,328.0
9,1,16,16,14,3,166.0,16,620.0
9,1,12,17,14,2,146.0,17,585.0
9,0,6,33,14,1,151.0,23,580.0
9,0,6,9,14,2,63.0,25,240.0
9,0,6,9,14,2,89.0,17,375.0
9,0,6,9,14,2,79.0,19,310.0
9,0,6,9,14,2,89.0,18,321.0
9,2,6,9,14,3,92.0,24,370.0
3,1,9,10,14,2,91.0,11,420.0
9,0,6,9,14,2,103.0,16,420.0
9,2,6,16,14,0,68.0,31,255.0
0,0,6,2,14,0,48.0,31,218.8
13,1,24,24,14,3,168.0,18,620.0
9,0,6,9,14,3,82.0,18,296.0
9,0,6,9,14,2,60.0,32,262.0
9,0,6,9,14,3,104.0,18,355.0
7,1,14,9,14,2,94.0,16,370.0
2,2,23,16,14,3,89.0,8,411.0
3,2,6,9,14,1,57.0,27,200.0
9,2,5,9,14,3,87.0,18,297.0
9,2,8,17,14,3,123.0,6,679.0
9,0,6,9,14,3,56.0,29,252.0
9,0,6,16,14,2,117.0,16,480.0
2,2,6,9,14,0,101.0,21,400.0
9,2,6,9,14,3,86.0,11,295.0
7,2,6,9,14,2,67.0,10,269.0
9,0,6,9,14,2,57.0,41,183.0
9,0,6,16,14,3,108.0,17,440.0
9,0,6,17,14,3,158.0,22,499.0
9,2,6,9,14,0,64.0,31,240.0
10,1,11,2,14,2,47.0,11,220.0
9,0,6,16,14,1,65.0,41,238.0
9,0,4,17,14,3,166.0,15,660.0
